"Date","Account value"
"01/04/2021","28,754.91"
"01/05/2021","28,754.91"
"01/06/2021","28,754.91"
"01/07/2021","28,754.91"
"01/08/2021","28,754.91"
"01/11/2021","28,754.91"
"01/12/2021","28,754.91"
"01/13/2021","28,754.91"
"01/14/2021","28,754.91"
"01/15/2021","28,754.91"
"01/18/2021","28,754.91"
"01/19/2021","28,741.38"
"01/20/2021","28,024.22"
"01/21/2021","28,019.81"
"01/22/2021","28,129.28"
"01/25/2021","28,092.39"
"01/26/2021","28,151.80"
"01/27/2021","27,832.16"
"01/28/2021","28,221.99"
"01/29/2021","28,222.24"
"02/01/2021","28,222.24"
"02/02/2021","28,218.91"
"02/03/2021","28,243.27"
"02/04/2021","28,269.65"
"02/05/2021","28,300.95"
"02/08/2021","28,271.45"
"02/09/2021","28,273.72"
"02/10/2021","28,274.71"
"02/11/2021","28,350.69"
"02/12/2021","28,269.22"
"02/15/2021","28,269.22"
"02/16/2021","28,362.73"
"02/17/2021","28,470.08"
"02/18/2021","28,501.51"
"02/19/2021","28,735.35"
"02/22/2021","28,841.54"
"02/23/2021","28,741.97"
"02/24/2021","28,357.97"
"02/25/2021","27,967.18"
"02/26/2021","28,005.17"
"03/01/2021","28,633.52"
"03/02/2021","28,793.95"
"03/03/2021","27,728.27"
"03/04/2021","26,999.93"
"03/05/2021","26,891.38"
"03/08/2021","26,252.20"
"03/09/2021","27,380.37"
"03/10/2021","27,104.36"
"03/11/2021","27,523.54"
"03/12/2021","27,140.07"
"03/15/2021","27,374.61"
"03/16/2021","27,746.85"
"03/17/2021","27,560.94"
"03/18/2021","27,252.51"
"03/19/2021","27,469.31"
"03/22/2021","28,080.81"
"03/23/2021","28,190.47"
"03/24/2021","27,721.35"
"03/25/2021","27,413.27"
"03/26/2021","27,096.26"
"03/29/2021","26,819.34"
"03/30/2021","27,063.57"
"03/31/2021","27,260.24"
"04/01/2021","27,539.11"
"04/02/2021","27,539.11"
"04/05/2021","27,352.23"
"04/06/2021","27,650.57"
"04/07/2021","27,545.85"
"04/08/2021","27,765.62"
"04/09/2021","27,869.74"
"04/12/2021","27,715.53"
"04/13/2021","27,611.45"
"04/14/2021","27,930.74"
"04/15/2021","27,851.52"
"04/16/2021","28,075.96"
"04/19/2021","27,896.16"
"04/20/2021","27,728.40"
"04/21/2021","28,164.31"
"04/22/2021","28,094.42"
"04/23/2021","28,312.09"
"04/26/2021","28,417.07"
"04/27/2021","28,584.66"
"04/28/2021","28,531.92"
"04/29/2021","28,598.02"
"04/30/2021","28,675.24"
"05/03/2021","28,767.47"
"05/04/2021","28,238.98"
"05/05/2021","28,159.18"
"05/06/2021","28,019.05"
"05/07/2021","28,206.83"
"05/10/2021","27,577.84"
"05/11/2021","27,606.61"
"05/12/2021","26,483.74"
"05/13/2021","26,997.56"
"05/14/2021","28,020.67"
"05/17/2021","27,705.14"
"05/18/2021","28,199.76"
"05/19/2021","28,238.95"
"05/20/2021","28,641.68"
"05/21/2021","28,824.98"
"05/24/2021","29,297.68"
"05/25/2021","29,283.92"
"05/26/2021","29,475.65"
"05/27/2021","29,645.32"
"05/28/2021","29,702.35"
"05/31/2021","29,702.35"
"06/01/2021","29,493.37"
"06/02/2021","29,463.67"
"06/03/2021","29,294.51"
"06/04/2021","29,525.67"
"06/07/2021","29,633.34"
"06/08/2021","29,658.60"
"06/09/2021","29,107.91"
"06/10/2021","29,286.58"
"06/11/2021","29,467.08"
"06/14/2021","29,484.54"
"06/15/2021","29,305.85"
"06/16/2021","29,367.26"
"06/17/2021","29,162.70"
"06/18/2021","28,630.78"
"06/21/2021","29,198.69"
"06/22/2021","29,190.11"
"06/23/2021","29,331.37"
"06/24/2021","29,447.55"
"06/25/2021","29,693.14"
"06/28/2021","29,785.00"
"06/29/2021","29,713.72"
"06/30/2021","29,670.56"
"07/01/2021","29,873.99"
"07/02/2021","29,906.87"
"07/05/2021","29,906.87"
"07/06/2021","29,735.74"
"07/07/2021","29,485.97"
"07/08/2021","29,347.20"
"07/09/2021","29,352.71"
"07/12/2021","29,613.91"
"07/13/2021","29,772.52"
"07/14/2021","29,664.15"
"07/15/2021","29,787.50"
"07/16/2021","29,527.54"
"07/19/2021","28,986.43"
"07/20/2021","29,535.38"
"07/21/2021","29,714.77"
"07/22/2021","29,813.41"
"07/23/2021","29,813.11"
"07/26/2021","29,851.54"
"07/27/2021","29,885.00"
"07/28/2021","30,172.97"
"07/29/2021","30,106.93"
"07/30/2021","30,054.21"
"08/02/2021","30,133.60"
"08/03/2021","30,178.73"
"08/04/2021","30,301.69"
"08/05/2021","30,506.40"
"08/06/2021","30,478.76"
"08/09/2021","30,514.52"
"08/10/2021","30,295.46"
"08/11/2021","30,371.52"
"08/12/2021","30,232.39"
"08/13/2021","30,472.32"
